                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3551,                0.68918,                 1.0337,                0.99122,                0.97964,                0.99334,                0.64198,                 1.2767,                0.62072,                 1.0128,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3665,                 0.6879,                 1.0165,                0.99334,                0.97035,                0.99252,                0.64484,                 1.2508,                0.61838,                 1.0093,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3604,                0.68273,                 1.0387,                0.98688,                0.97928,                0.99289,                0.66257,                 1.2056,                0.59936,                0.99009,               0.000911,               0.000911,               0.000911
                     57,                 1.3983,                0.71033,                 1.0491,                0.98032,                0.97252,                0.99383,                0.65613,                 1.2172,                0.61226,                 1.0005,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.303,                0.67389,                 1.0235,                0.98012,                0.97614,                0.99038,                0.63574,                 1.3036,                0.61193,                 1.0087,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3528,                0.66988,                  1.032,                0.99329,                0.96267,                0.99231,                0.65582,                 1.2442,                0.59704,                 1.0013,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2922,                0.65317,                 1.0155,                0.98554,                0.96963,                0.99228,                 0.6558,                 1.2317,                0.58441,                0.99944,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3299,                0.64836,                 1.0232,                0.98997,                 0.9718,                0.99401,                0.66488,                 1.2088,                0.58338,                0.99689,               0.000812,               0.000812,               0.000812
                     62,                 1.3104,                0.65289,                 1.0105,                0.97833,                0.97923,                0.99272,                0.65744,                 1.2494,                0.60051,                 1.0063,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3151,                0.64915,                 1.0164,                0.98471,                0.97802,                0.99262,                0.64629,                 1.2296,                0.59848,                  1.006,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2987,                0.65361,                 1.0381,                0.98484,                0.98674,                0.98761,                0.65875,                 1.2107,                0.58751,                0.98698,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3015,                0.64797,                 1.0184,                0.98925,                0.98265,                0.99363,                0.68048,                 1.1909,                0.57846,                0.98221,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2828,                0.63894,                 1.0158,                0.98379,                0.98265,                0.99379,                0.66936,                 1.1854,                0.58338,                0.98266,               0.000713,               0.000713,               0.000713
                     67,                 1.2674,                0.61762,                 1.0167,                0.98654,                0.98482,                0.99243,                0.65826,                 1.1987,                0.56295,                0.98141,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2598,                 0.6322,                 1.0122,                0.98904,                0.97879,                0.99389,                 0.6763,                  1.219,                0.56995,                 1.0028,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2829,                0.63597,                 1.0204,                0.98944,                0.98698,                0.99417,                0.68434,                  1.161,                0.56394,                0.97824,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2651,                0.64934,                 1.0228,                0.98643,                0.97831,                0.99184,                0.68452,                 1.1465,                0.56509,                0.96728,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2431,                0.62757,                 1.0091,                0.98061,                0.98712,                0.99291,                0.69031,                 1.1326,                0.54991,                0.96876,               0.000614,               0.000614,               0.000614
                     72,                 1.2981,                0.62376,                 1.0098,                0.98643,                0.98048,                0.99173,                0.68338,                 1.1693,                0.56883,                0.97538,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2837,                0.62411,                0.98603,                0.97701,                0.98698,                0.99057,                0.68673,                 1.1536,                 0.5521,                0.95928,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2491,                0.61336,                0.99298,                 0.9837,                0.98915,                0.99236,                0.69761,                 1.1237,                0.54623,                0.95715,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2281,                0.60362,                0.99286,                 0.9924,                0.98698,                0.99451,                0.69564,                 1.1346,                0.54177,                 0.9609,              0.0005348,              0.0005348,              0.0005348
                     76,                  1.207,                0.60138,                 0.9857,                0.98623,                0.99132,                0.99472,                0.70021,                 1.1209,                  0.546,                0.95504,               0.000515,               0.000515,               0.000515
                     77,                 1.2306,                0.61667,                0.98158,                0.99117,                0.99132,                0.99491,                0.71346,                 1.0968,                0.53306,                0.95002,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2175,                0.60831,                0.97968,                0.99349,                  0.993,                0.99491,                0.71536,                 1.0795,                0.52492,                0.94546,              0.0004754,              0.0004754,              0.0004754
                     79,                  1.151,                0.59299,                0.96503,                0.99577,                0.98698,                0.99489,                0.70867,                 1.0743,                0.53538,                0.94598,              0.0004556,              0.0004556,              0.0004556
                     80,                   1.17,                0.57286,                0.96916,                 0.9935,                0.99496,                 0.9938,                0.70514,                 1.0584,                0.51783,                0.93945,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1911,                0.57871,                0.98211,                0.99316,                0.99566,                0.99424,                0.70714,                 1.0811,                 0.5209,                0.94674,               0.000416,               0.000416,               0.000416
                     82,                 1.1688,                0.58856,                0.97362,                0.99756,                0.99349,                  0.995,                 0.7314,                 1.0448,                0.52119,                 0.9381,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1846,                0.59699,                0.97376,                 0.9962,                0.98915,                0.99461,                0.69159,                  1.155,                0.54043,                0.96555,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1436,                0.57508,                0.96787,                 0.9935,                0.99401,                0.99498,                0.72404,                 1.0344,                0.50315,                 0.9353,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1479,                0.58805,                0.97561,                0.99783,                 0.9955,                0.99463,                0.73234,                 1.0205,                0.49723,                0.92544,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1252,                0.56512,                0.95114,                0.99783,                0.99566,                0.99478,                0.73623,                 1.0195,                0.49789,                0.92504,               0.000317,               0.000317,               0.000317
